|__name,|__business_status,|__geometry__location__lat,|__geometry__location__lng,|__geometry__viewport__|,|__place_id,|__vicinity,|__opening_hours__open_now,|__permanently_closed
Sofitel New York,OPERATIONAL,40.7557052,-73.981849,northeast,ChIJ5Zpl7_9YwokRFePhP7971nc,"45 West 44th Street, New York",,
,,,,southwest,,,,
Novotel New York Times Square,OPERATIONAL,40.7627884,-73.9836945,northeast,ChIJr9cp0ldYwokRxolUb1zQPzE,"226 West 52nd Street, New York",TRUE,
,,,,southwest,,,,
Connolly's Pub & Restaurant,OPERATIONAL,40.7573681,-73.9835798,northeast,ChIJAS6GeVVYwokRPfg8xt4nH-I,"121 West 45th Street, New York",TRUE,
,,,,southwest,,,,
Carmine's Italian Restaurant,CLOSED_TEMPORARILY,40.757498,-73.986654,northeast,ChIJR9So-lRYwokRX1xEjA0rChA,"200 West 44th Street, New York",,TRUE
,,,,southwest,,,,
Lan Sheng,OPERATIONAL,40.7514762,-73.9883517,northeast,ChIJM6NLWapZwokR5Gj7tgBAfWo,"128 West 36th Street, New York",TRUE,
,,,,southwest,,,,
Bryant Park Grill,OPERATIONAL,40.7531999,-73.982957,northeast,ChIJqTF1eABZwokR3ZMQ2obIW4w,"25 West 40th Street, New York",TRUE,
,,,,southwest,,,,
Bistro New York,OPERATIONAL,40.7610718,-73.9803035,northeast,ChIJkbeKH_lYwokRI-A2Yuf_XSg,"1285 6th Avenue, New York",,
,,,,southwest,,,,
Blue Fin,OPERATIONAL,40.7592186,-73.9853654,northeast,ChIJzz-PyFVYwokRwp5z0KduYls,"1567 Broadway, New York",TRUE,
,,,,southwest,,,,
Shake Shack,OPERATIONAL,40.7584328,-73.9892194,northeast,ChIJhXAgf1NYwokRBzdqc2TRX_I,"691 8th Avenue, New York",TRUE,
,,,,southwest,,,,
Ellen's Stardust Diner,OPERATIONAL,40.7618723,-73.9834356,northeast,ChIJ_85dJlZYwokR29NPLSJngR4,"1650 Broadway, New York",FALSE,
,,,,southwest,,,,
Del Frisco's Double Eagle Steakhouse,OPERATIONAL,40.7594099,-73.98222,northeast,ChIJE1bnSP9YwokRDK7Zxnt23gE,"1221 6th Avenue, New York",TRUE,
,,,,southwest,,,,
YOTEL New York,OPERATIONAL,40.7592033,-73.9954829,northeast,ChIJpY9Tg01YwokRCr_aQpDrqgk,"570 10th Avenue, New York",TRUE,
,,,,southwest,,,,
Hard Rock Cafe,OPERATIONAL,40.7570352,-73.9866112,northeast,ChIJh3tl5lRYwokRtY1QuaZADu0,"1501 Broadway, New York",,
,,,,southwest,,,,
